weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.1h,state_name,lga_name
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686315596,3600,2338313,Ikeja,200,3.3258,6.6219,305.03,310.55,305.03,305.03,1014,62,2.06,240,40,1.0,1185.0,NG,1686288666,1686333652,,,,,Lagos,Agege
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686315598,3600,2332459,Lagos,200,3.3339,6.4448,305.3,311.21,305.3,305.3,1014,62,2.06,240,40,1.0,1185.0,NG,1686288683,1686333632,,,,,Lagos,Ajeromi-Ifelodun
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686315601,3600,2338313,Ikeja,200,3.2958,6.6106,304.65,307.78,304.65,304.65,1012,55,4.01,186,37,,,NG,1686288675,1686333658,1012.0,1007.0,2.78,,Lagos,Alimosho
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686315604,3600,2332459,Lagos,200,3.2667,6.45,303.59,307.06,303.59,303.59,1012,61,4.25,190,34,,,NG,1686288698,1686333649,1012.0,1012.0,3.25,,Lagos,Amuwo-Odofin
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686315608,3600,2332459,Lagos,200,3.3667,6.45,304.55,307.83,304.55,304.55,1012,56,4.66,189,38,,,NG,1686288674,1686333625,1012.0,1012.0,3.23,,Lagos,Apapa
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000,1686315611,3600,2348395,Badagry,200,2.8833,6.4167,303.5,307.33,303.5,303.5,1012,63,4.52,192,79,,,NG,1686288794,1686333737,1012.0,1012.0,3.83,0.31,Lagos,Badagry
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686315614,3600,2343252,Epe,200,3.9833,6.5833,306.55,309.66,306.55,306.55,1011,48,2.17,183,48,,,NG,1686288512,1686333490,1011.0,1010.0,1.33,,Lagos,Epe
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686315616,3600,2332459,Lagos,200,3.5646,6.4374,300.76,303.79,300.76,300.76,1013,76,4.15,181,37,,,NG,1686288628,1686333576,1013.0,1012.0,3.66,,Lagos,Eti-Osa
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000,1686315611,3600,2348395,Badagry,200,2.8833,6.4167,303.5,307.33,303.5,303.5,1012,63,4.52,192,79,,,NG,1686288794,1686333737,1012.0,1012.0,3.83,0.31,Lagos,Ibeju-Lekki
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316007,3600,2338313,Ikeja,200,3.2889,6.6847,305.41,308.25,305.41,305.41,1012,51,3.54,186,39,,,NG,1686288669,1686333667,1012.0,1005.0,2.33,,Lagos,Ifako-Ijaiye
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316010,3600,2338313,Ikeja,200,3.35,6.6,303.9,307.24,303.9,303.9,1012,59,4.13,186,35,,,NG,1686288663,1686333644,1012.0,1008.0,2.99,,Lagos,Ikeja
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316012,3600,2344082,Ebute Ikorodu,200,3.5,6.6,302.19,305.78,302.19,302.19,1012,69,4.27,183,30,,,NG,1686288627,1686333608,1012.0,1011.0,3.41,,Lagos,Ikorodu
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316015,3600,2566677,Shogunle,200,3.3842,6.5569,302.95,306.61,302.95,302.95,1012,65,4.42,185,32,,,NG,1686288659,1686333631,1012.0,1012.0,3.4,,Lagos,Kosofe
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316018,3600,2332459,Lagos,200,3.4,6.45,301.5,304.82,301.5,301.5,1012,72,4.34,185,27,,,NG,1686288666,1686333617,1012.0,1012.0,3.73,,Lagos,Lagos Island
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316021,3600,2332459,Lagos,200,3.3865,6.5049,302.06,305.5,302.06,302.06,1012,69,4.75,185,29,,,NG,1686288664,1686333625,1012.0,1012.0,3.79,,Lagos,Lagos Mainland
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316023,3600,2566677,Shogunle,200,3.35,6.5333,303.0,306.5,303.0,303.0,1012,64,4.54,186,33,,,NG,1686288670,1686333637,1012.0,1009.0,3.44,,Lagos,Mushin
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316026,3600,2334528,Ketu Adieowe,200,3.1833,6.4667,303.71,307.31,303.71,303.71,1012,61,4.31,191,41,,,NG,1686288717,1686333670,1012.0,1012.0,3.29,,Lagos,Ojo
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316029,3600,2566677,Shogunle,200,3.308,6.5119,303.58,307.04,303.58,303.58,1012,61,4.63,187,34,,,NG,1686288682,1686333645,1012.0,1011.0,3.41,,Lagos,Oshodi-Isolo
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316032,3600,2566677,Shogunle,200,3.3872,6.5408,302.61,306.1,302.61,302.61,1012,66,4.53,185,31,,,NG,1686288660,1686333629,1012.0,1011.0,3.53,,Lagos,Somolu
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1686316035,3600,2332459,Lagos,200,3.35,6.5,302.64,306.16,302.64,302.64,1012,66,4.74,186,31,,,NG,1686288673,1686333634,1012.0,1012.0,3.67,,Lagos,Surulere
